bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Csv,3cb5801a985c0d6a9ca3dc794b4e89a292b4a9c6,f7220c40b18193ffa4b02fb6645b1e14db38cc44,CSV-60,https://issues.apache.org/jira/browse/CSV-60,https://github.com/apache/commons-csv/tree/3cb5801a985c0d6a9ca3dc794b4e89a292b4a9c6,https://github.com/apache/commons-csv/tree/f7220c40b18193ffa4b02fb6645b1e14db38cc44,https://github.com/apache/commons-csv/compare/3cb5801a985c0d6a9ca3dc794b4e89a292b4a9c6...f7220c40b18193ffa4b02fb6645b1e14db38cc44
2,Csv,29efef70f1dddf7f1924706770238cbe96157f0f,c9dedff12e98a34ab4225bc65f810c0954207f11,CSV-67,https://issues.apache.org/jira/browse/CSV-67,https://github.com/apache/commons-csv/tree/29efef70f1dddf7f1924706770238cbe96157f0f,https://github.com/apache/commons-csv/tree/c9dedff12e98a34ab4225bc65f810c0954207f11,https://github.com/apache/commons-csv/compare/29efef70f1dddf7f1924706770238cbe96157f0f...c9dedff12e98a34ab4225bc65f810c0954207f11
3,Csv,a019caec3f685f864c98ce9af94c5171de4a51bc,83b1072703023411900b5eaefe9b8e99bc6b9414,CSV-75,https://issues.apache.org/jira/browse/CSV-75,https://github.com/apache/commons-csv/tree/a019caec3f685f864c98ce9af94c5171de4a51bc,https://github.com/apache/commons-csv/tree/83b1072703023411900b5eaefe9b8e99bc6b9414,https://github.com/apache/commons-csv/compare/a019caec3f685f864c98ce9af94c5171de4a51bc...83b1072703023411900b5eaefe9b8e99bc6b9414
4,Csv,d0035e6c7a3f911a735485e0893e26950c15f098,9fb2b4f2b100c8d5a769532ee26973832c2a61c0,CSV-79,https://issues.apache.org/jira/browse/CSV-79,https://github.com/apache/commons-csv/tree/d0035e6c7a3f911a735485e0893e26950c15f098,https://github.com/apache/commons-csv/tree/9fb2b4f2b100c8d5a769532ee26973832c2a61c0,https://github.com/apache/commons-csv/compare/d0035e6c7a3f911a735485e0893e26950c15f098...9fb2b4f2b100c8d5a769532ee26973832c2a61c0
5,Csv,1299ddfe3fec5000f68c203a7f61e9af02955296,9ebd0d94254b468765f6c558bb10ca018a418444,CSV-80,https://issues.apache.org/jira/browse/CSV-80,https://github.com/apache/commons-csv/tree/1299ddfe3fec5000f68c203a7f61e9af02955296,https://github.com/apache/commons-csv/tree/9ebd0d94254b468765f6c558bb10ca018a418444,https://github.com/apache/commons-csv/compare/1299ddfe3fec5000f68c203a7f61e9af02955296...9ebd0d94254b468765f6c558bb10ca018a418444
6,Csv,4406fba31cf945861a23a1d3730b06386d7722fb,5063b16c7a6d806a0a229fdf4ff2a16d74f287b5,CSV-77,https://issues.apache.org/jira/browse/CSV-77,https://github.com/apache/commons-csv/tree/4406fba31cf945861a23a1d3730b06386d7722fb,https://github.com/apache/commons-csv/tree/5063b16c7a6d806a0a229fdf4ff2a16d74f287b5,https://github.com/apache/commons-csv/compare/4406fba31cf945861a23a1d3730b06386d7722fb...5063b16c7a6d806a0a229fdf4ff2a16d74f287b5
7,Csv,5063b16c7a6d806a0a229fdf4ff2a16d74f287b5,38741a48c692ae2fc13cd2445e77ace6ecea1156,CSV-54,https://issues.apache.org/jira/browse/CSV-54,https://github.com/apache/commons-csv/tree/5063b16c7a6d806a0a229fdf4ff2a16d74f287b5,https://github.com/apache/commons-csv/tree/38741a48c692ae2fc13cd2445e77ace6ecea1156,https://github.com/apache/commons-csv/compare/5063b16c7a6d806a0a229fdf4ff2a16d74f287b5...38741a48c692ae2fc13cd2445e77ace6ecea1156
8,Csv,c6212540dfa2fdb42ccd19d9737c8e341b9cab40,c4e120bbf42cf3981a629582ea722dacea9db19e,CSV-75,https://issues.apache.org/jira/browse/CSV-75,https://github.com/apache/commons-csv/tree/c6212540dfa2fdb42ccd19d9737c8e341b9cab40,https://github.com/apache/commons-csv/tree/c4e120bbf42cf3981a629582ea722dacea9db19e,https://github.com/apache/commons-csv/compare/c6212540dfa2fdb42ccd19d9737c8e341b9cab40...c4e120bbf42cf3981a629582ea722dacea9db19e
9,Csv,c4e120bbf42cf3981a629582ea722dacea9db19e,0833f45bffd40f44ba6f294d84e9bac8a9ba0a37,CSV-87,https://issues.apache.org/jira/browse/CSV-87,https://github.com/apache/commons-csv/tree/c4e120bbf42cf3981a629582ea722dacea9db19e,https://github.com/apache/commons-csv/tree/0833f45bffd40f44ba6f294d84e9bac8a9ba0a37,https://github.com/apache/commons-csv/compare/c4e120bbf42cf3981a629582ea722dacea9db19e...0833f45bffd40f44ba6f294d84e9bac8a9ba0a37
10,Csv,0833f45bffd40f44ba6f294d84e9bac8a9ba0a37,de1838ea067f3fbc4c7c21b9eeae077c739ecb73,CSV-75,https://issues.apache.org/jira/browse/CSV-75,https://github.com/apache/commons-csv/tree/0833f45bffd40f44ba6f294d84e9bac8a9ba0a37,https://github.com/apache/commons-csv/tree/de1838ea067f3fbc4c7c21b9eeae077c739ecb73,https://github.com/apache/commons-csv/compare/0833f45bffd40f44ba6f294d84e9bac8a9ba0a37...de1838ea067f3fbc4c7c21b9eeae077c739ecb73
11,Csv,de1838ea067f3fbc4c7c21b9eeae077c739ecb73,8a683f009d10150c3bcff6c92455cadd7f7f0a88,CSV-75,https://issues.apache.org/jira/browse/CSV-75,https://github.com/apache/commons-csv/tree/de1838ea067f3fbc4c7c21b9eeae077c739ecb73,https://github.com/apache/commons-csv/tree/8a683f009d10150c3bcff6c92455cadd7f7f0a88,https://github.com/apache/commons-csv/compare/de1838ea067f3fbc4c7c21b9eeae077c739ecb73...8a683f009d10150c3bcff6c92455cadd7f7f0a88
